pestname;value;week;SectionId;Section
Sciara;16;14;17;Afdeling 9
Sciara;13;29;16;Afdeling 8
Sciara;9;19;16;Afdeling 8
Sciara;27;27;16;Afdeling 8
Sciara;16;27;16;Afdeling 8
Sciara;9;27;16;Afdeling 8
Sciara;13;24;16;Afdeling 8
Sciara;15;24;16;Afdeling 8
Sciara;7;24;16;Afdeling 8
Sciara;11;23;16;Afdeling 8
Sciara;7;18;16;Afdeling 8
Sciara;7;17;16;Afdeling 8
Sciara;7;14;16;Afdeling 8
Sciara;22;29;16;Afdeling 8
Sciara;18;22;16;Afdeling 8
Sciara;22;22;16;Afdeling 8
Sciara;11;19;16;Afdeling 8
Sciara;25;22;16;Afdeling 8
Sciara;45;19;16;Afdeling 8
Sciara;14;27;15;Afdeling 7
Sciara;11;26;15;Afdeling 7
Sciara;9;25;15;Afdeling 7
Sciara;12;22;15;Afdeling 7
Sciara;11;19;15;Afdeling 7
Sciara;10;11;15;Afdeling 7
Sciara;9;15;15;Afdeling 7
Sciara;24;29;15;Afdeling 7
Sciara;42;27;15;Afdeling 7
Sciara;10;27;15;Afdeling 7
Sciara;10;26;15;Afdeling 7
Sciara;10;26;15;Afdeling 7
Sciara;9;24;15;Afdeling 7
Sciara;9;14;15;Afdeling 7
Sciara;14;19;15;Afdeling 7
Sciara;37;19;15;Afdeling 7
Sciara;13;19;15;Afdeling 7
Sciara;17;22;15;Afdeling 7
Sciara;7;26;15;Afdeling 7
Sciara;13;22;15;Afdeling 7
Sciara;15;27;14;Afdeling 6
Sciara;14;15;14;Afdeling 6
Sciara;7;27;14;Afdeling 6
Sciara;9;25;14;Afdeling 6
Sciara;12;23;14;Afdeling 6
Sciara;7;22;14;Afdeling 6
Sciara;12;19;14;Afdeling 6
Sciara;24;19;14;Afdeling 6
Sciara;27;14;14;Afdeling 6
Sciara;7;18;14;Afdeling 6
Sciara;7;33;14;Afdeling 6
Sciara;7;33;14;Afdeling 6
Sciara;12;29;14;Afdeling 6
Sciara;9;27;14;Afdeling 6
Sciara;9;26;14;Afdeling 6
Sciara;11;24;14;Afdeling 6
Sciara;7;24;14;Afdeling 6
Sciara;18;19;14;Afdeling 6
Sciara;19;15;14;Afdeling 6
Sciara;7;15;14;Afdeling 6
