pestname;value;week;SectionId;Section
Sciara;0;47;25;Afdeling 16
Sciara;0;42;25;Afdeling 16
Sciara;0;40;25;Afdeling 16
Sciara;0;19;25;Afdeling 16
Sciara;0;51;25;Afdeling 16
Sciara;0;51;25;Afdeling 16
Sciara;0;49;25;Afdeling 16
Sciara;0;49;25;Afdeling 16
Sciara;0;49;25;Afdeling 16
Sciara;0;48;25;Afdeling 16
Sciara;0;48;25;Afdeling 16
Sciara;0;43;25;Afdeling 16
Sciara;0;43;25;Afdeling 16
Sciara;0;42;25;Afdeling 16
Sciara;0;42;25;Afdeling 16
Sciara;0;40;25;Afdeling 16
Sciara;0;40;25;Afdeling 16
Sciara;0;40;25;Afdeling 16
Sciara;0;26;25;Afdeling 16
Sciara;0;26;25;Afdeling 16
Sciara;0;24;25;Afdeling 16
Sciara;0;24;25;Afdeling 16
Sciara;0;9;25;Afdeling 16
Sciara;0;9;25;Afdeling 16
Sciara;0;47;25;Afdeling 16
Sciara;0;42;25;Afdeling 16
Sciara;0;47;25;Afdeling 16
Sciara;0;47;25;Afdeling 16
Sciara;0;26;25;Afdeling 16
Sciara;0;25;25;Afdeling 16
Sciara;0;25;25;Afdeling 16
Sciara;0;25;25;Afdeling 16
Sciara;0;40;24;Afdeling 15
Sciara;0;49;24;Afdeling 15
Sciara;0;24;24;Afdeling 15
Sciara;0;24;24;Afdeling 15
Sciara;0;51;24;Afdeling 15
Sciara;0;49;24;Afdeling 15
Sciara;0;48;24;Afdeling 15
Sciara;0;48;24;Afdeling 15
Sciara;0;47;24;Afdeling 15
Sciara;0;47;24;Afdeling 15
Sciara;0;42;24;Afdeling 15
Sciara;0;40;24;Afdeling 15
Sciara;0;42;24;Afdeling 15
Sciara;0;51;24;Afdeling 15
Sciara;0;51;24;Afdeling 15
Sciara;0;49;24;Afdeling 15
Sciara;0;49;24;Afdeling 15
Sciara;0;48;24;Afdeling 15
Sciara;0;48;24;Afdeling 15
Sciara;0;45;24;Afdeling 15
Sciara;0;42;24;Afdeling 15
Sciara;0;40;24;Afdeling 15
Sciara;0;40;24;Afdeling 15
Sciara;0;9;24;Afdeling 15
Sciara;0;9;24;Afdeling 15
Sciara;0;9;24;Afdeling 15
Sciara;0;9;24;Afdeling 15
Sciara;0;47;24;Afdeling 15
Sciara;0;49;23;Afdeling 14
Sciara;0;40;23;Afdeling 14
Sciara;0;40;23;Afdeling 14
Sciara;0;49;23;Afdeling 14
Sciara;0;51;23;Afdeling 14
Sciara;0;51;23;Afdeling 14
